연도,월,일,시간,지역,태양광발전량(MWh)
2022,12,1,22,충청남도,61.32
2022,12,1,23,충청남도,28.79
2022,12,1,24,충청남도,10.53
2022,12,1,1,충청북도,0.65
2022,12,1,2,충청북도,0.09
2022,12,1,3,충청북도,0.05
2022,12,1,4,충청북도,0.26
2022,12,1,5,충청북도,0.26
2022,12,1,6,충청북도,0.21
2022,12,1,7,충청북도,0
2022,12,1,8,충청북도,1
2022,12,1,9,충청북도,20.24
2022,12,1,10,충청북도,84.14
2022,12,1,11,충청북도,122.53
2022,12,1,12,충청북도,148.99
2022,12,1,13,충청북도,154.21
2022,12,1,14,충청북도,142.3
2022,12,1,15,충청북도,103.66
2022,12,1,16,충청북도,63.53
2022,12,1,17,충청북도,18.79
2022,12,1,18,충청북도,16.51
2022,12,1,19,충청북도,25.8
2022,12,1,20,충청북도,38.1
2022,12,1,21,충청북도,37.12
2022,12,1,22,충청북도,24.68
2022,12,1,23,충청북도,8.33
2022,12,1,24,충청북도,2.93
2022,12,1,1,제주도,0
2022,12,1,2,제주도,0.04
2022,12,1,3,제주도,0
2022,12,1,4,제주도,0
2022,12,1,5,제주도,0
2022,12,1,6,제주도,0
2022,12,1,7,제주도,0
2022,12,1,8,제주도,2.93
2022,12,1,9,제주도,33.77
2022,12,1,10,제주도,60.43
2022,12,1,11,제주도,80.63
2022,12,1,12,제주도,80.36
2022,12,1,13,제주도,107.36
2022,12,1,14,제주도,110.67
2022,12,1,15,제주도,78.07
2022,12,1,16,제주도,72.45
2022,12,1,17,제주도,30.15
2022,12,1,18,제주도,4.76
2022,12,1,19,제주도,3.14
2022,12,1,20,제주도,2.86
2022,12,1,21,제주도,0.69
2022,12,1,22,제주도,0.05
2022,12,1,23,제주도,0
2022,12,1,24,제주도,0
2022,12,1,1,서울시,0
2022,12,1,2,서울시,0
2022,12,1,3,서울시,0
2022,12,1,4,서울시,0
2022,12,1,5,서울시,0
2022,12,1,6,서울시,0
2022,12,1,7,서울시,0
2022,12,1,8,서울시,0.04
2022,12,1,9,서울시,1.87
2022,12,1,10,서울시,5.52
2022,12,1,11,서울시,6.95
2022,12,1,12,서울시,9.58
2022,12,1,13,서울시,7.35
2022,12,1,14,서울시,8.34
2022,12,1,15,서울시,6.87
2022,12,1,16,서울시,4.96
2022,12,1,17,서울시,0.97
2022,12,1,18,서울시,0.01
2022,12,1,19,서울시,0.05
2022,12,1,20,서울시,0.05
2022,12,1,21,서울시,0.05
2022,12,1,22,서울시,0.05
2022,12,1,23,서울시,0
2022,12,1,24,서울시,0
2022,12,1,1,인천시,0.02
2022,12,1,2,인천시,0
2022,12,1,3,인천시,0
2022,12,1,4,인천시,0
2022,12,1,5,인천시,0
2022,12,1,6,인천시,0
2022,12,1,7,인천시,0
2022,12,1,8,인천시,0.07
2022,12,1,9,인천시,4.55
2022,12,1,10,인천시,15.24
2022,12,1,11,인천시,17.89
2022,12,1,12,인천시,19.98
2022,12,1,13,인천시,22.21
2022,12,1,14,인천시,20.51
2022,12,1,15,인천시,16.14
2022,12,1,16,인천시,12.99
2022,12,1,17,인천시,3.38
2022,12,1,18,인천시,1.69
2022,12,1,19,인천시,1.85
2022,12,1,20,인천시,2.91
2022,12,1,21,인천시,1.94
2022,12,1,22,인천시,0.51
2022,12,1,23,인천시,4.55
2022,12,1,24,인천시,4.16
2022,12,1,1,대전시,0
2022,12,1,2,대전시,0
2022,12,1,3,대전시,0
2022,12,1,4,대전시,0
2022,12,1,5,대전시,0
2022,12,1,6,대전시,0
2022,12,1,7,대전시,0
2022,12,1,8,대전시,0.05
2022,12,1,9,대전시,0.79
2022,12,1,10,대전시,3.77
2022,12,1,11,대전시,6.48
2022,12,1,12,대전시,7.6
2022,12,1,13,대전시,7.58
2022,12,1,14,대전시,6.24
2022,12,1,15,대전시,5.04
2022,12,1,16,대전시,2.82
2022,12,1,17,대전시,0.94
2022,12,1,18,대전시,0.01
2022,12,1,19,대전시,0
2022,12,1,20,대전시,0
2022,12,1,21,대전시,0
2022,12,1,22,대전시,0
2022,12,1,23,대전시,0
2022,12,1,24,대전시,0
2022,12,1,1,광주시,0
2022,12,1,2,광주시,0
2022,12,1,3,광주시,0
2022,12,1,4,광주시,0
2022,12,1,5,광주시,0
2022,12,1,6,광주시,0
2022,12,1,7,광주시,0
2022,12,1,8,광주시,0.27
2022,12,1,9,광주시,4.01
2022,12,1,10,광주시,10.72
2022,12,1,11,광주시,27.79
2022,12,1,12,광주시,35.43
2022,12,1,13,광주시,34.17
2022,12,1,14,광주시,23.12
2022,12,1,15,광주시,21.68
2022,12,1,16,광주시,14.07
2022,12,1,17,광주시,5.03
2022,12,1,18,광주시,2.23
2022,12,1,19,광주시,2.6
2022,12,1,20,광주시,2.63
2022,12,1,21,광주시,1.54
2022,12,1,22,광주시,0.81
2022,12,1,23,광주시,0.38
